1.1407	0.93762
0.86794	1.0796
0.69897	0.83432
0.28863	1.4529
0.85725	0.78401
1.1409	0.65423
0.96371	0.81215
0.58924	0.79172
1.2867	0.61644
1.2211	0.61692
0.94289	1.5188
1.0247	1.0201
1.0221	0.72287
1.0535	1.3201
1.2316	0.71247
0.8919	1.4603
1.4767	0.91251
0.65658	0.7694
0.90341	1.3961
0.75974	0.83269
0.80028	1.0027
0.50442	1.2181
1.3497	1.0871
1.0229	0.80829
0.96192	0.36811
1.0289	0.76537
0.78677	1.2047
0.88901	1.3229
1.2692	1.0737
0.98003	1.2781
1.1533	1.0968
1.1966	1.4357
1.3084	1.4497
0.83951	0.82501
0.77642	1.006
1.1138	1.1804
0.71715	1.385
1.3527	1.0443
0.678	0.84555
1.3275	0.99103
1.4879	0.60011
0.61345	0.84034
1.3546	0.74214
1.1557	1.0547
1.0347	0.92676
0.92861	1.3437
0.94429	1.0589
1.2649	0.65994
0.80599	1.1318
0.81706	0.70144
1.9271	1.0622
1.4774	1.7336
1.3262	0.86871
1.2874	1.0605
0.99239	1.3437
0.47813	0.69547
0.94269	1.3763
1.2284	0.87975
1.2015	1.2498
1.4813	0.83986
1.3666	1.5192
1.1361	1.358
0.83448	0.79416
0.9152	1.5488
1.1532	0.91617
0.8587	1.242
0.86657	1.0534
1.4363	0.99854
0.95987	1.6093
0.52563	0.53841
0.34217	0.54477
1.0736	1.2436
0.85628	0.35093
0.88077	1.2465
0.95811	1.3921
1.0112	0.55408
0.69427	0.99024
0.9924	0.82037
0.3413	1.2798
0.71984	0.81002
0.88175	1.2411
1.0832	0.77071
1.0833	1.3232
1.38	1.1118
1.5047	0.64423
1.1335	0.65467
0.75203	1.017
1.16	0.40659
1.3758	1.2747
1.3385	1.4429
1.0307	1.1984
0.56332	0.65576
0.61339	1.0721
0.89017	1.6713
1.1562	1.3773
0.82318	1.1637
0.52935	1.2622
1.3963	1.403
0.86423	1.0576
1.3001	0.96805
1.1311	0.91907
0.60842	1.0485
1.0165	0.93032
1.2022	0.77077
0.79428	0.7211
0.7917	1.1824
1.0961	0.83047
0.68865	0.71765
0.79549	0.5886
1.3977	0.58793
0.89685	1.206
1.1364	0.89078
0.85336	1.1857
0.5369	1.3646
0.85647	0.91995
0.83154	1.2176
1.0603	1.8688
0.84909	0.89939
1.3031	1.1343
0.38326	0.90836
1.1167	1.3351
0.84033	0.87993
1.2894	0.87485
1.0205	1.1989
1.4896	0.99347
0.87745	0.79461
0.90475	0.34995
1.1426	0.57764
1.316	0.8378
0.63762	1.2365
0.20499	1.2097
0.94288	1.1639
1.0747	1.3083
1.457	0.94019
0.92179	1.1145
1.0275	0.98144
1.2011	1.1348
0.81446	0.94435
0.6958	1.3098
0.93102	0.53149
0.46701	1.7086
1.1517	0.91892
0.68909	0.63037
0.53332	0.65649
1.0176	0.98762
1.1435	1.3905
0.92964	0.71701
1.1593	1.1257
1.2263	0.75227
1.2046	1.2864
1.3345	2.0563
1.2607	2.6014
2.1529	2.2163
1.5838	2.8341
1.8925	2.4076
1.7872	2.7588
1.5631	3.0173
1.906	2.3982
1.4658	2.3195
1.6638	2.8335
1.0339	2.5951
1.1334	2.5112
1.7296	2.5427
1.3938	2.2783
1.3769	2.815
1.6153	2.362
0.71128	2.833
1.3919	2.3542
1.176	2.9368
1.6417	2.5891
1.5092	1.5692
1.0404	2.4452
1.4702	2.878
1.4323	2.4043
1.6573	2.3048
1.3123	2.6347
1.0952	2.9392
1.4773	2.7226
1.6504	2.534
1.6083	2.6546
